2014/08/23	16:21:00,296	6010,25204
2014/08/23	16:21:00,408	12039,38299
2014/08/23	16:21:00,521	12096,63424
2014/08/23	16:21:00,624	12118,19705
2014/08/23	16:21:00,736	11985,21429
2014/08/23	16:21:00,848	12045,78231
2014/08/23	16:21:00,954	12066,71451
2014/08/23	16:21:01,066	12041,90748
2014/08/23	16:21:01,175	12007,82902
2014/08/23	16:21:01,284	12027,16848
2014/08/23	16:21:01,395	12057,19796
2014/08/23	16:21:01,499	12084,20431
2014/08/23	16:21:01,608	12056,9263
2014/08/23	16:21:01,718	12069,57415
2014/08/23	16:21:01,827	12062,15533
2014/08/23	16:21:01,943	12095,4263
2014/08/23	16:21:02,046	12046,81224
2014/08/23	16:21:02,158	12049,93537
2014/08/23	16:21:02,271	12071,07778
2014/08/23	16:21:02,376	12009,84059
2014/08/23	16:21:02,488	12085,1576
2014/08/23	16:21:02,593	12124,22268
2014/08/23	16:21:02,707	12003,52902
2014/08/23	16:21:02,813	12086,49683
2014/08/23	16:21:02,922	11994,52902
2014/08/23	16:21:03,034	12058,86168
2014/08/23	16:21:03,139	12046,79274
2014/08/23	16:21:03,250	12013,11361
2014/08/23	16:21:03,362	12010,61859
2014/08/23	16:21:03,471	12020,89751
2014/08/23	16:21:03,580	12011,24467
2014/08/23	16:21:03,686	12050,37324
2014/08/23	16:21:03,799	12106,44807
2014/08/23	16:21:03,908	12065,23583
2014/08/23	16:21:04,014	12034,56531
2014/08/23	16:21:04,125	12043,30544
2014/08/23	16:21:04,238	12107,33583
2014/08/23	16:21:04,343	12095,2542
2014/08/23	16:21:04,452	12099,13923
2014/08/23	16:21:04,566	12051,80794
2014/08/23	16:21:04,674	12034,8127
2014/08/23	16:21:04,784	12044,68617
2014/08/23	16:21:04,891	12011,56032
2014/08/23	16:21:05,035	12102,73469
2014/08/23	16:21:05,140	12091,46667
2014/08/23	16:21:05,254	12036,61678
2014/08/23	16:21:05,358	12026,79592
2014/08/23	16:21:05,469	12015,72483
2014/08/23	16:21:05,581	12045,23673
2014/08/23	16:21:05,686	12022,88027
